,Day,Campaign name,Ad Set Name,Ad name,Reach,Impressions,Frequency,Result type,Results,Amount spent (EUR),Cost per result,"CPM (cost per 1,000 impressions)",CPC (cost per link click),"Cost per 1,000 Accounts Center accounts reached",Cost per ThruPlay,3sek % Impression,25% in % Impressions,50% in % Impression,75% in % Impression,95% in % Impressions,100% in % Impressions,ThruPlay % Impression,CTR (all),CTR (link click-through rate),ThruPlays,Video average play time,Video plays,Cost per 3-second video play,Reporting starts,Reporting ends
79,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_neu_WK1_w_Awareness,DE0000_Run2_IG_WWS2_WK1_w_Awareness,14407,14554,1.01020337,Estimated ad recall lift (people),760.0,48.19,0.06340789,3.31111722,0.98346939,3.34490178,0.35962687,0.03263708,0.02501031,0.01511612,0.01113096,0.00920709,0.00920709,0.00920709,0.35729009,0.3366772,134.0,0.0,14046.0,0.10145263,2021-09-24,2021-09-24
80,2021-09-24,DE0000_BTW21_Run2_Consideration_Themenspots,DE0000_WK3_m_IG_Consideration,DE0000_WK3_m_IG_Digitalisierung,1415,1573,1.11166078,ThruPlay,83.0,12.88,0.15518072,8.18817546,6.44,9.1024735,0.15518072,0.10171647,0.09535919,0.0705658,0.05721551,0.05340114,0.05276542,0.05276542,0.19071837,0.12714558,83.0,1.0,1506.0,0.0805,2021-09-24,2021-09-24
81,2021-09-24,DE0000_BTW21_Run2_Consideration_Themenspots,DE0000_WK1_w_FB_Consideration,DE0000_WK1_w_FB_Digitalisierung,3281,4750,1.44772935,ThruPlay,111.0,42.85,0.38603604,9.02105263,3.57083333,13.06004267,0.38603604,0.19326316,0.16042105,0.06231579,0.03621053,0.02589474,0.02336842,0.02336842,0.35789474,0.25263158,111.0,2.0,4271.0,0.04667756,2021-09-24,2021-09-24
82,2021-09-24,DE0000_BTW21_Run2_Conversion,DE0000_Run2_FB_WK1_w_Conversion,DE0000_Run2_FB_WWS2_WK1_w_Conversion,4784,6732,1.40719064,Link clicks,30.0,43.78,1.45933333,6.50326797,1.45933333,9.15133779,0.47075269,0.13680927,0.10412953,0.04278075,0.02391563,0.01782531,0.0167855,0.01381462,0.80213904,0.4456328,93.0,2.0,5647.0,0.04753529,2021-09-24,2021-09-24
83,2021-09-24,DE0000_BTW21_Run2_Consideration_Themenspots,DE0000_WK1_w_IG_Consideration,DE0000_WK1_w_IG_Klima,3371,3574,1.06021952,ThruPlay,279.0,44.9,0.1609319,12.56295467,5.6125,13.31948977,0.1609319,0.15025182,0.13850028,0.10296586,0.08645775,0.07974259,0.07834359,0.07806379,0.22383884,0.22383884,279.0,2.0,3497.0,0.08361266,2021-09-24,2021-09-24
84,2021-09-24,DE0000_BTW21_Run2_Conversion,DE0000_Run2_IG_WK2_m_Conversion,DE0000_Run2_IG_WWS2_WK2_m_Awareness,828,1380,1.66666667,Link clicks,23.0,18.67,0.81173913,13.52898551,0.81173913,22.54830918,1.09823529,0.03913043,0.02826087,0.05652174,0.0173913,0.01376812,0.01376812,0.01231884,1.66666667,1.66666667,17.0,0.0,1320.0,0.34574074,2021-09-24,2021-09-24
85,2021-09-24,DE0000_BTW21_Run2_Conversion,DE0000_Run2_IG_neu_WK1_w_Conversion,DE0000_Run2_IG_WWS2_WK1_w_Conversion,3447,5991,1.73803307,Link clicks,130.0,94.4,0.72615385,15.75696879,0.72615385,27.38613287,1.21025641,0.04773827,0.03555333,0.04490068,0.01902854,0.0146887,0.01402103,0.01301953,2.20330496,2.16992155,78.0,1.0,5817.0,0.33006993,2021-09-24,2021-09-24
86,2021-09-24,DE0000_BTW21_Run2_Conversion,DE0000_Run2_FB_WK2_m_Conversion,DE0000_Run2_FB_WWS2_WK2_m_Conversion,2176,3027,1.39108456,Link clicks,12.0,15.27,1.2725,5.04459861,1.2725,7.01746324,0.26789474,0.14205484,0.11265279,0.04393789,0.02576809,0.02048233,0.01982161,0.01883053,0.85893624,0.39643211,57.0,2.0,2572.0,0.03551163,2021-09-24,2021-09-24
87,2021-09-24,DE0000_BTW21_Run2_Conversion,DE0000_Run2_FB_WK3_m_Conversion,DE0000_Run2_FB_WWS2_WK3_m_Conversion,2601,3771,1.44982699,Link clicks,16.0,15.12,0.945,4.00954654,0.945,5.81314879,0.378,0.12596128,0.0997083,0.03977725,0.01909308,0.01219836,0.01166799,0.01060727,0.87509944,0.42429064,40.0,2.0,3199.0,0.03183158,2021-09-24,2021-09-24
88,2021-09-24,DE0000_BTW21_Run2_Conversion,DE0000_Run2_FB_neu_WK1_m_Conversion,DE0000_Run2_FB_WWS2_WK1_m_Conversion,3557,4938,1.38824852,Link clicks,28.0,29.67,1.05964286,6.00850547,1.05964286,8.34129885,0.33715909,0.14661806,0.10895099,0.04515998,0.02895909,0.02025111,0.01923856,0.01782098,1.0328068,0.56703119,88.0,2.0,4109.0,0.04098066,2021-09-24,2021-09-24
